Thu Nov 26 11:02:50 2020: Hive (C:\Users\cased\Documents\LSTI\NTUSER.DAT) is not dirty.

Thu Nov 26 11:02:50 2020: Log opened.
Thu Nov 26 11:02:50 2020: File: C:\Users\cased\Documents\LSTI\NTUSER.DAT
Thu Nov 26 11:02:50 2020: Environment set up.
Thu Nov 26 11:02:55 2020: Launching adobe v.20200522
Thu Nov 26 11:02:55 2020: Launching allowedenum v.20200511
Thu Nov 26 11:02:55 2020: Launching appassoc v.20200515
Thu Nov 26 11:03:00 2020: Launching appcompatflags v.20200525
Thu Nov 26 11:03:01 2020: Launching appkeys v.20200517
Thu Nov 26 11:03:01 2020: Launching applets v.20200525
Thu Nov 26 11:03:01 2020: Launching apppaths v.20200511
Thu Nov 26 11:03:01 2020: Launching appspecific v.20200515
Thu Nov 26 11:03:01 2020: Launching appx v.20200427
Thu Nov 26 11:03:02 2020: Launching arpcache v.20200515
Thu Nov 26 11:03:02 2020: Launching attachmgr v.20200525
Thu Nov 26 11:03:02 2020: Launching cached v.20200525
Thu Nov 26 11:03:03 2020: Launching cmdproc v.20200515
Thu Nov 26 11:03:03 2020: Launching comdlg32 v.20200517
Thu Nov 26 11:03:05 2020: Launching compdesc v.20200511
Thu Nov 26 11:03:05 2020: Launching DDO v.20140414
Thu Nov 26 11:03:05 2020: Launching disablemru v.20190924
Thu Nov 26 11:03:05 2020: Launching environment v.20200512
Thu Nov 26 11:03:05 2020: Launching featureusage v.20200511
Thu Nov 26 11:03:07 2020: Launching identities v.20200525
Thu Nov 26 11:03:07 2020: Launching injectdll64 v.20200427
Thu Nov 26 11:03:07 2020: Launching jumplistdata v.20200517
Thu Nov 26 11:03:07 2020: Launching knowndev v.20200515
Thu Nov 26 11:03:07 2020: Launching listsoft v.20200517
Thu Nov 26 11:03:08 2020: Launching load v.20200517
Thu Nov 26 11:03:08 2020: Launching logonstats v.20200517
Thu Nov 26 11:03:08 2020: Launching lxss v.20200511
Thu Nov 26 11:03:08 2020: Launching mixer v.20200517
Thu Nov 26 11:03:09 2020: Launching mmc v.20200517
Thu Nov 26 11:03:09 2020: Launching mmo v.20200517
Thu Nov 26 11:03:09 2020: Launching mndmru v.20200517
Thu Nov 26 11:03:09 2020: Launching mp2 v.20200526
Thu Nov 26 11:03:09 2020: Launching mpmru v.20200517
Thu Nov 26 11:03:10 2020: Launching  msoffice v.20200518
Thu Nov 26 11:03:11 2020: Launching muicache v.20200525
Thu Nov 26 11:03:11 2020: Launching nation v.20200517
Thu Nov 26 11:03:11 2020: Launching oisc v.20091125
Thu Nov 26 11:03:11 2020: Launching onedrivev.20200515
Thu Nov 26 11:03:11 2020: Launching osversion v.20200511
Thu Nov 26 11:03:11 2020: Launching outlook_homepage v.20201002
Thu Nov 26 11:03:12 2020: Launching pendinggpos v.20200427
Thu Nov 26 11:03:12 2020: Launching profiler v.20200525
Thu Nov 26 11:03:12 2020: Launching pslogging v.20200515
Thu Nov 26 11:03:12 2020: Launching psscript v.20200525
Thu Nov 26 11:03:12 2020: Launching putty v.20200515
Thu Nov 26 11:03:12 2020: Launching recentapps v.20200515
Thu Nov 26 11:03:12 2020: Launching recentdocs v.20200427
Thu Nov 26 11:03:20 2020: Launching run v.20200511
Thu Nov 26 11:03:21 2020: Launching runmru v.20200525
Thu Nov 26 11:03:21 2020: Launching runvirtual v.20200427
Thu Nov 26 11:03:21 2020: Launching searchscopes v.20200517
Thu Nov 26 11:03:21 2020: Error in searchscopes: Can't call method "get_data" on an undefined value at C:\Users\cased\Downloads\RegRipper3.0-master\RegRipper3.0-master/plugins\searchscopes.pl line 51.

Thu Nov 26 11:03:21 2020: Launching 7-zip v.20200515
Thu Nov 26 11:03:21 2020: Launching shc v.20200427
Thu Nov 26 11:03:21 2020: Launching shellfolders v.20200515
Thu Nov 26 11:03:21 2020: Launching speech v.20200427
Thu Nov 26 11:03:21 2020: Launching sysinternals v.20080324
Thu Nov 26 11:03:21 2020: Launching tsclient v.20200518
Thu Nov 26 11:03:22 2020: Launching typedpaths v.20200526
Thu Nov 26 11:03:22 2020: Launching typedurls v.20200526
Thu Nov 26 11:03:22 2020: Launching typedurlstime v.20200526
Thu Nov 26 11:03:22 2020: Launching uninstall v.20200525
Thu Nov 26 11:03:22 2020: Launching userassist v.20170204
Thu Nov 26 11:03:27 2020: Launching wc_shares v.20200515
Thu Nov 26 11:03:27 2020: Launching winrar v.20200526
Thu Nov 26 11:03:27 2020: Launching winscp v.20200525
Thu Nov 26 11:03:27 2020: Launching WinZip v.20200526
Thu Nov 26 11:03:27 2020: Launching wordwheelquery v.20200823
